GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",15023
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",4414
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",23632
"G0100055","1850","Alabama","010","Benton","0055","Benton",17163
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",9969
"G0100090","1850","Alabama","010","Blount","0090","Blount",7367
"G0100130","1850","Alabama","010","Butler","0130","Butler",10836
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",23960
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",13884
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",8389
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",9786
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",5940
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",9322
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",14543
"G0100390","1850","Alabama","010","Covington","0390","Covington",3645
"G0100450","1850","Alabama","010","Dale","0450","Dale",6382
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",29727
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",8245
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",9681
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",19610
"G0100630","1850","Alabama","010","Greene","0630","Greene",31441
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",1542
"G0100670","1850","Alabama","010","Henry","0670","Henry",9019
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",14088
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",8989
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",17172
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",15258
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",16483
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",21915
"G0100870","1850","Alabama","010","Macon","0870","Macon",26898
"G0100890","1850","Alabama","010","Madison","0890","Madison",26427
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",27831
"G0100930","1850","Alabama","010","Marion","0930","Marion",7833
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",8846
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",27600
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",12013
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",29711
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",10125
"G0101050","1850","Alabama","010","Perry","1050","Perry",22285
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",21512
"G0101090","1850","Alabama","010","Pike","1090","Pike",15920
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",11581
"G0101130","1850","Alabama","010","Russell","1130","Russell",19548
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",6829
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",9536
